,index,Latitude,City,Country,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,0,-6.98,cabedelo,br,-34.83,84.2,70.0,75.0,11.41,1579897035
1,1,-20.73,mount isa,au,139.5,77.0,94.0,90.0,8.05,1579896813
2,2,-9.8,atuona,pf,-139.03,80.71,75.0,21.0,12.15,1579897036
3,3,-2.02,lorengau,pg,147.27,83.62,68.0,9.0,5.19,1579897036
4,4,-10.75,tinyahuarco,pe,-76.3,39.79,91.0,100.0,5.08,1579897036
5,5,-21.69,moindou,nc,165.68,71.6,83.0,90.0,2.24,1579897036
6,6,57.79,kodiak,us,-152.41,15.8,56.0,1.0,11.41,1579897036
7,7,-9.67,maceio,br,-35.74,82.4,69.0,75.0,12.75,1579896782
8,8,55.1,la ronge,ca,-105.28,26.6,73.0,20.0,3.36,1579897036
9,9,-21.15,saint-leu,re,55.28,78.8,100.0,100.0,20.8,1579897037
10,10,4.12,xuddur,so,43.89,79.84,63.0,100.0,16.4,1579897037
11,11,-15.94,jamestown,sh,-5.72,74.25,71.0,98.0,8.3,1579897026
12,12,71.92,saskylakh,ru,114.08,-27.15,91.0,100.0,24.07,1579897037
13,13,45.95,fredericton,ca,-66.67,34.0,89.0,1.0,4.7,1579897037
14,14,53.04,trzcianka,pl,16.46,36.93,79.0,100.0,11.07,1579897037
15,15,-42.88,hobart,au,147.33,60.8,51.0,75.0,12.75,1579897037
16,16,42.97,tumen,cn,129.84,4.01,73.0,58.0,3.36,1579897037
17,17,69.7,pevek,ru,170.31,-27.85,97.0,0.0,1.14,1579896392
18,18,37.73,ponta delgada,pt,-25.67,55.4,76.0,75.0,6.93,1579897038
19,19,-9.2,bukama,cd,25.85,71.91,90.0,100.0,1.5,1579897038
20,20,-35.02,albany,au,117.89,60.8,87.0,90.0,5.82,1579897038
21,21,-33.93,cape town,za,18.42,69.01,93.0,75.0,11.41,1579897038
22,22,-0.6,hithadhoo,mv,73.08,83.57,77.0,67.0,11.56,1579896884
23,23,25.02,umm lajj,sa,37.27,56.53,64.0,0.0,8.75,1579897038
24,24,37.46,half moon bay,us,-122.43,66.0,87.0,1.0,9.17,1579897038
25,25,-16.62,camana,pe,-72.71,68.09,83.0,100.0,9.66,1579897038
26,26,-24.87,carnarvon,au,113.63,77.0,69.0,0.0,13.87,1579897038
27,27,-42.78,new norfolk,au,147.06,60.8,51.0,75.0,12.75,1579897038
28,28,29.27,jumla,np,82.18,21.74,46.0,0.0,5.86,1579897038
29,29,-9.01,maragogi,br,-35.22,82.02,76.0,100.0,13.58,1579897039
30,30,-54.8,ushuaia,ar,-68.3,57.2,54.0,40.0,6.98,1579896747
31,31,70.63,chokurdakh,ru,147.92,-35.07,93.0,0.0,4.14,1579896494
32,32,-0.97,barcelos,br,-62.92,88.5,62.0,82.0,2.44,1579897039
33,33,52.14,dingle,ie,-10.27,44.6,87.0,75.0,2.24,1579897039
34,34,-46.6,bluff,nz,168.33,59.0,96.0,100.0,7.0,1579897039
35,35,63.75,iqaluit,ca,-68.51,-23.01,61.0,20.0,13.87,1579896317
36,36,66.83,yar-sale,ru,70.83,4.84,96.0,86.0,4.85,1579896814
37,37,-38.0,mar del plata,ar,-57.56,84.2,54.0,40.0,18.34,1579896887
38,38,20.0,tombouctou,ml,-3.0,82.0,9.0,100.0,11.14,1579897040
39,39,-23.12,rikitea,pf,-134.97,78.39,76.0,0.0,16.31,1579897040
40,40,69.45,tuktoyaktuk,ca,-133.04,-2.2,77.0,90.0,10.29,1579897190
41,41,-33.65,busselton,au,115.33,57.0,85.0,37.0,1.01,1579897190
42,42,28.66,los llanos de aridane,es,-17.92,64.0,67.0,20.0,6.93,1579897191
43,43,-28.87,ballina,au,153.57,78.8,88.0,90.0,8.05,1579897191
44,44,62.88,seymchan,ru,152.43,-35.05,97.0,89.0,3.78,1579897191
45,45,46.36,brainerd,us,-94.2,32.0,74.0,90.0,8.05,1579897191
46,46,5.49,la primavera,co,-70.41,96.48,29.0,99.0,10.09,1579897192
47,47,34.64,lompoc,us,-120.46,72.0,46.0,1.0,6.93,1579896653
48,48,-9.54,malanje,ao,16.34,65.61,95.0,98.0,5.26,1579897194
49,49,71.29,barrow,us,-156.79,-20.2,75.0,1.0,8.05,1579897125
50,50,5.95,matara,lk,80.54,73.13,86.0,1.0,7.87,1579897195
51,51,-37.62,lebu,cl,-73.65,68.14,37.0,0.0,12.64,1579897195
52,52,49.78,chapais,ca,-74.85,14.0,78.0,1.0,5.82,1579897061
53,53,-26.65,luderitz,na,15.16,71.6,73.0,0.0,8.05,1579897196
54,54,-34.42,hermanus,za,19.23,68.0,90.0,0.0,16.22,1579897197
55,55,-21.2,vaini,to,-175.2,80.6,78.0,20.0,11.41,1579897197
56,56,-8.14,buala,sb,159.59,82.2,76.0,51.0,6.4,1579897197
57,57,70.47,clyde river,ca,-68.59,-16.6,75.0,75.0,14.99,1579897197
58,58,-33.02,east london,za,27.91,75.58,80.0,93.0,10.0,1579896808
59,59,18.22,abha,sa,42.51,51.8,87.0,20.0,4.7,1579897197
60,60,21.44,ahuimanu,us,-157.84,78.01,69.0,20.0,3.71,1579897197
61,61,35.13,katsuura,jp,140.3,46.4,45.0,75.0,19.46,1579896545
62,62,48.83,emba,kz,58.14,5.49,97.0,81.0,9.35,1579897198
63,63,4.14,meulaboh,id,96.13,82.92,74.0,74.0,1.16,1579897198
64,64,-0.74,puerto ayora,ec,-90.35,86.0,58.0,20.0,19.46,1579897198
65,65,31.77,jiangyou,cn,104.72,30.78,94.0,50.0,0.78,1579897198
66,66,-10.26,luwingu,zm,29.93,64.24,96.0,100.0,2.3,1579897198
67,67,13.48,essau,gm,-16.53,80.6,44.0,25.0,10.29,1579897198
68,68,16.6,santa maria,cv,-22.9,75.2,78.0,20.0,13.87,1579896905
69,69,-33.87,esperance,au,121.9,60.8,100.0,90.0,1.12,1579896915
70,70,-33.92,port elizabeth,za,25.57,69.8,83.0,21.0,5.82,1579896904
71,71,40.6,fortuna,us,-124.16,61.0,67.0,1.0,3.36,1579897199
72,72,3.07,butaritari,ki,172.79,84.31,71.0,100.0,5.32,1579897199
73,73,38.52,ribeira grande,pt,-28.7,59.0,72.0,75.0,4.7,1579897199
74,74,13.59,acajutla,sv,-89.83,87.8,35.0,20.0,2.24,1579897199
75,75,65.61,tasiilaq,gl,-37.64,19.4,52.0,100.0,27.51,1579897199
76,76,64.38,provideniya,ru,-173.3,-9.83,97.0,94.0,4.97,1579897199
77,77,63.91,onega,ru,38.14,24.12,96.0,100.0,12.59,1579897199
78,78,55.91,borodino,ru,94.9,30.83,79.0,100.0,11.36,1579897199
79,79,-32.25,kwinana,au,115.77,64.99,82.0,47.0,9.17,1579897200
80,80,-22.97,arraial do cabo,br,-42.03,75.2,83.0,90.0,4.7,1579897200
81,81,-34.53,bredasdorp,za,20.04,68.0,88.0,28.0,1.12,1579897086
82,82,-42.47,castro,cl,-73.77,64.4,59.0,75.0,16.11,1579897200
83,83,8.12,ciudad bolivar,ve,-63.55,92.88,31.0,0.0,7.54,1579896929
84,84,2.67,kudahuvadhoo,mv,72.89,82.49,82.0,100.0,19.17,1579897200
85,85,29.97,sakakah,sa,40.21,41.0,75.0,20.0,12.75,1579897200
86,86,59.7,nikolskoye,ru,30.79,35.01,86.0,75.0,11.18,1579897202
87,87,61.67,baykit,ru,96.37,9.1,97.0,100.0,2.33,1579897202
88,88,-21.8,rio brilhante,br,-54.55,81.21,73.0,40.0,6.8,1579897202
89,89,20.93,nouadhibou,mr,-17.03,66.2,68.0,100.0,10.29,1579896652
90,90,31.35,marsa matruh,eg,27.25,53.6,58.0,75.0,8.05,1579897277
91,91,8.37,dabakala,ci,-4.43,79.09,12.0,67.0,3.87,1579897278
92,92,68.05,bilibino,ru,166.44,-18.69,71.0,100.0,2.44,1579896983
93,93,33.73,shingu,jp,135.98,48.45,67.0,76.0,8.28,1579897278
94,94,-10.45,kirakira,sb,161.92,80.1,78.0,51.0,3.06,1579897117
95,95,-53.15,punta arenas,cl,-70.92,48.2,87.0,90.0,4.7,1579897278
96,96,31.63,marrakesh,ma,-8.01,55.4,62.0,25.0,4.7,1579897278
97,97,65.58,lavrentiya,ru,-171.0,-16.02,78.0,0.0,3.58,1579897113
98,98,62.46,yellowknife,ca,-114.35,3.2,84.0,40.0,8.05,1579897243
